Seq_lane_pool,Sample.ID,Library_Concentration(ng/uL),Data.source,vol_for_equal_library_molarity(uL),total_pool_vol(uL),DNA(ng),"pool_total_DNA(ng)
",pool_conc(ng/uL)
2,EPI_151,1.32,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,10.55,124.18,13.92,167.04,1.35
2,EPI_152,1.45,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,9.60,,13.92,,
2,EPI_153,0.928,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,15.00,,13.92,,
2,EPI_154,1.27,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,10.96,,13.92,,
2,EPI_159,1.45,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,9.60,,13.92,,
2,EPI_160,1.37,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,10.16,,13.92,,
2,EPI_161,1.27,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,10.96,,13.92,,
2,EPI_162,1.72,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,8.09,,13.92,,
2,EPI_167,1.35,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,10.31,,13.92,,
2,EPI_168,1.37,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,10.16,,13.92,,
2,EPI_169,1.42,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,9.80,,13.92,,
2,EPI_170,1.55,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,8.98,,13.92,,
3,EPI_175,2.12,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,6.28,104.87,13.32,159.84,1.52
3,EPI_176,1.81,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,7.36,,13.32,,
3,EPI_181,2.36,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,5.64,,13.32,,
3,EPI_182,2.82,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,4.72,,13.32,,
3,EPI_184,1.71,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,7.79,,13.32,,
3,EPI_185,1.04,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,12.81,,13.32,,
3,EPI_187,1.7,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,7.84,,13.32,,
3,EPI_188,0.986,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,13.51,,13.32,,
3,EPI_193,1.69,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,7.88,,13.32,,
3,EPI_194,2.3,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,5.79,,13.32,,
3,EPI_199,0.888,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,15.00,,13.32,,
3,EPI_200,1.3,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,10.25,,13.32,,
4,EPI_205,1.38,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,9.28,121.68,12.81,153.72,1.26
4,EPI_206,1.9,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,6.74,,12.81,,
4,EPI_208,1.67,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,7.67,,12.81,,
4,EPI_209,1.41,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,9.09,,12.81,,
4,EPI_214,1.75,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,7.32,,12.81,,
4,EPI_215,1.19,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,10.76,,12.81,,
4,EPI_220,0.9,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,14.23,,12.81,,
4,EPI_221,1.03,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,12.44,,12.81,,
4,EPI_226,1.35,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,9.49,,12.81,,
4,EPI_227,1.19,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,10.76,,12.81,,
4,EPI_229,1.44,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,8.90,,12.81,,
4,EPI_230,0.854,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,15.00,,12.81,,
5,EPI_41,0.894,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,9.40,49.13,8.4,67.2,1.37
5,EPI_42,1.14,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,7.37,,8.4,,
5,EPI_43,0.92,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,9.13,,8.4,,
5,EPI_44,1.02,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck-RRBS-Library-Prep-part-3/,8.24,,8.4,,
5,EPI_135 WG,2.24,https://hputnam.github.io/Putnam_Lab_Notebook/Geoduck_RRBS_Library_Prep/,15.00,,33.6,,